,Service Request (SR) Number,SR Description,Method Received,SR Status,Status Change Date,Created Date,Last Update Date,Close Date,SR Location,Street Number,Street Name,City,Zip Code,County,State Plane X Coordinate,State Plane Y Coordinate,Latitude Coordinate,Longitude Coordinate,(Latitude.Longitude),Council District,Map Page,Map Tile
35490,16-00307348,zCoyote Complaints,Phone,New,11/22/2016 10:22:45 AM,11/22/2016 10:22:45 AM,11/22/2016 10:22:45 AM,,"7201 LEVANDER LOOP, AUSTIN, TX 78721",7201.0,LEVANDER,AUSTIN,78721.0,TRAVIS,3130986.14,10065080.57,30.25139382,-97.69043353,"(30.25139382, -97.69043353)",3.0,616F,ML21
55637,17-00217599,Coyote Complaints,Phone,Closed,08/01/2017 01:54:24 PM,07/29/2017 09:56:33 AM,08/01/2017 01:54:24 PM,08/01/2017 01:54:24 PM,"MARYWOOD CIR & HARTNELL DR, AUSTIN, TX 78758",,MARYWOOD CIR & HARTNELL DR,AUSTIN,78723.0,TRAVIS,3134978.74821135,10090807.0006026,30.32184946,-97.67584579,"(30.32184946, -97.67584579)",1.0,556H,MM27
55673,17-00201267,Coyote Complaints,Phone,Closed,07/14/2017 04:25:17 PM,07/14/2017 03:19:30 PM,07/14/2017 04:25:17 PM,07/14/2017 04:25:17 PM,"8533 ADIRONDACK TRL, AUSTIN, TX 78759",8533.0,ADIRONDACK,AUSTIN,78759.0,TRAVIS,3106889.99781616,10112995.999826,30.38465812,-97.76322266,"(30.38465812, -97.76322266)",10.0,494Q,MH32
58041,18-00125689,Coyote Complaints,Phone,Closed,04/30/2018 11:50:29 AM,04/30/2018 09:56:46 AM,04/30/2018 10:50:31 AM,04/30/2018 11:50:29 AM,"3902 ETON LN, AUSTIN, TX 78727",3902.0,ETON,AUSTIN,78727.0,TRAVIS,3119368.49964656,10124244.9988004,30.414781199999997,-97.72282094,"(30.4147812, -97.72282094)",7.0,465Q,MK35
61943,18-00167991,Coyote Complaints,Phone,Closed,06/29/2018 10:47:32 AM,06/01/2018 05:33:02 PM,06/29/2018 09:47:34 AM,06/29/2018 10:47:32 AM,"4601 FAWNWOOD CV, AUSTIN, TX 78735",4601.0,FAWNWOOD,AUSTIN,78735.0,TRAVIS,3088779.75167544,10061562.0019001,30.24440888,-97.82432343,"(30.24440888, -97.82432343)",8.0,613J,ME20
62260,18-00176845,Coyote Complaints,Phone,Closed,06/29/2018 11:02:42 AM,06/07/2018 09:55:31 PM,06/29/2018 10:02:44 AM,06/29/2018 11:02:42 AM,"4072 ENCLAVE MESA CIR, AUSTIN, TX 78731",4072.0,ENCLAVE MESA,AUSTIN,78731.0,TRAVIS,3106805.99974087,10104739.9995761,30.36196877,-97.76409368,"(30.36196877, -97.76409368)",10.0,524C,MH30
62271,17-00199131,Coyote Complaints,Phone,Closed,07/14/2017 03:25:22 PM,07/12/2017 06:41:10 PM,07/14/2017 03:25:22 PM,07/14/2017 03:25:22 PM,"4908 CRAIG DR, AUSTIN, TX 78727",4908.0,CRAIG,AUSTIN,78727.0,TRAVIS,3115886.24977322,10125921.9993225,30.41961523,-97.73374098,"(30.41961523, -97.73374098)",6.0,465P,MJ35
62276,18-00176846,Coyote Complaints,Phone,Closed,06/29/2018 11:11:33 AM,06/07/2018 09:57:47 PM,06/29/2018 10:11:35 AM,06/29/2018 11:11:33 AM,"4041 ENCLAVE MESA CIR, AUSTIN, TX 78731",4041.0,ENCLAVE MESA,AUSTIN,78731.0,TRAVIS,3107189.24737047,10104961.9986552,30.36255467,-97.76286256,"(30.36255467, -97.76286256)",10.0,524C,MH30
64707,17-00314106,Coyote Complaints,Phone,New,10/20/2017 08:12:57 AM,10/20/2017 08:12:57 AM,10/20/2017 08:12:58 AM,,"4510 FRONTIER TRL, AUSTIN, TX 78745",4510.0,FRONTIER,AUSTIN,78745.0,TRAVIS,3098208.7526963,10056110.0019498,30.22883387,-97.79486459,"(30.22883387, -97.79486459)",5.0,613Z,MF19
68035,18-00204091,Coyote Complaints,Phone,Closed,06/29/2018 12:09:26 PM,06/28/2018 02:00:10 PM,06/29/2018 12:09:26 PM,06/29/2018 12:09:26 PM,"9010 FAIRWAY HILL DR, AUSTIN, TX 78750",9010.0,FAIRWAY HILL,AUSTIN,78750.0,TRAVIS,3097657.75230772,10132390.9982313,30.43855596,-97.7910894,"(30.43855596, -97.7910894)",6.0,434W,MG37
72444,18-00205659,Coyote Complaints,Phone,Closed,06/29/2018 04:46:40 PM,06/29/2018 02:58:11 PM,06/29/2018 03:46:42 PM,06/29/2018 04:46:40 PM,"3925 W BRAKER LN, AUSTIN, TX 78759",3925.0,BRAKER,AUSTIN,78759.0,TRAVIS,3115529.3984232,10117595.3591493,30.3967494,-97.73548971,"(30.3967494, -97.73548971)",7.0,495F,MJ33
78648,16-00284050,zCoyote Complaints,Phone,New,10/26/2016 08:28:04 AM,10/26/2016 08:28:04 AM,10/26/2016 08:28:04 AM,,"7201 LEVANDER LOOP, AUSTIN, TX 78721",7201.0,LEVANDER,AUSTIN,78721.0,TRAVIS,3130986.14,10065080.57,30.25139382,-97.69043353,"(30.25139382, -97.69043353)",3.0,616F,ML21
